poi_id,poi_name,poi_name_ar,venue_id,venue_name,indoor_outdoor,category,keywords,Age,gender,interest,lifestyle,income,latitude,longitude,status,description
69,Kids Home,,5,5.07 RESIDENTIAL ,indoor,baby_care,childcare;playful;trustworthy;enriching;comfortable,Kids,All,Childcare,Family-oriented,Medium,51.98351082,16.57069984,active,"Kids Home is a trusted indoor childcare facility. Tailored for young children, it features safe, enriching play areas, caring staff, and a cozy atmosphere that supports both early development and peace of mind for nearby parents."
46,Banoon Day Care,,8,3.04 Residential ,indoor,baby_care,childcare;structured;trustworthy;supportive;community,Kids,All,Childcare,Family-oriented,Medium,15.0819263,59.71021216,active,"Banoon Day Care supports the community with structured programs, caring supervision, and enriching early learning activities. The facility is clean, well-staffed, and trusted by working parents who value consistency and safety for their children. It serves toddlers and pre-K children"
39,Banoon Day Care,,6,3.05,indoor,baby_care,childcare;educational;supportive;licensed;playful,Kids,All,Childcare,Family-oriented,Medium,39.26223219,22.48782366,active,"Banoon Day Care supports the community with structured programs, caring supervision, and enriching early learning activities. The facility is clean, well-staffed, and trusted by working parents who value consistency and safety for their children. It serves toddlers and pre-K children."
20,Lasuhran Spa,,3,5.08 Residential,indoor,beauty,luxurious;tranquil;wellness;private;rejuvenating,Adults,Female,Beauty,"Luxury	",High,31.15627072,25.19816289,active,"Lasuhran Spa offers a serene indoor escape designed for indulgence, relaxation, and holistic rejuvenation. With soft ambient lighting, aromatic scents, and minimalist interiors, the spa provides a tranquil setting for massages, facials, and wellness treatments. Skilled therapists cater to clients seeking premium self-care, making it a favored destination for KAFD residents who value privacy and luxury."
119,KAFD Metro Station,,1,KAFD,outdoor,transportation,futuristic;efficient;iconic;accessible;transit,All,All,Technology,Professional,All,29.16635464,89.54387152,active,"KAFD Metro Station stands as a sleek, futuristic gateway connecting Riyadh's financial hub with the rest of the city. The station serves as the Yellow, Blue, and Violet metro lines of Riyadh. Designed by world-renowned architect Zaha Hadid, its futuristic bubbly look is definetely a set piece for visitors. "
118,Aramco,,1,KAFD,outdoor,building,energy;innovation;strategic;national;leadership,Adults,All,Energy,Professional,High,55.78896638,79.36857352,active,"Aramco's presence in KAFD reflects Saudi Arabia's global energy leadership and forward-thinking innovation. The site facilitates high-level internal meetings focused on strategy, sustainability, and investment, attracting executives, policymakers, and energy professionals."
126,King Abdullah Financial Center,,1,KAFD,outdoor,building,planning;financial;urban;strategic;vision,Adults,All,"Finance	",Governmental,High,21.0623202,40.55906227,active,"As the central development entity, King Abdullah Financial Center reflects Saudi Arabia's economic transformation goals. The office leads master planning, real estate strategy, and stakeholder coordination for the district, anchoring KAFD's vision of a modern financial hub."
131,Muqarnas Tower Parcel 1.09,,1,KAFD,outdoor,building,iconic;modern;high-rise;business;elegant,Adults,All,"Finance	",Professional,High,89.25584823,21.77824035,active,"Muqarnas Tower is an iconic high-rise in KAFD, known for its sleek architecture and premium office spaces. Hosting multinational firms and executive professionals, it offers panoramic city views and a prestigious corporate address."
140,The Steps,,1,KAFD,outdoor,building,walkable;urban;social;scenic;modern,All,All,"Services	",Active,All,58.64722594,75.8329672,active,"The Steps is a thoughtfully designed pedestrian pathway that links key zones within KAFD, offering both mobility and social engagement. With scenic landscaping and modern aesthetics, it invites casual walks, midday breaks, and informal meetups."
281,PIF,,1,KAFD,outdoor,building,investment;sovereign;strategic;global;leadership,Adults,All,Finance,Professional,High,32.33342734,60.23715582,active,"The Public Investment Fund (PIF) is Saudi Arabia's sovereign wealth fund and a driving force behind Vision 2030. Its KAFD headquarters hosts high-level meetings, strategic investment discussions, and global partnership negotiations, drawing diplomats, executives, and fund leaders."
604,Tadawul Tower,,25,1.19,indoor,building,finance;exchange;iconic;secure;modern,Adults,All,Finance,Professional,High,77.27321038,31.66794021,active,"Tadawul Tower is the iconic headquarters of the Saudi Stock Exchange, serving as the heart of the Kingdom's capital markets. It features executive offices, trading floors, and media zones. With secure access and smart systems, it's set to consolidate the nation's position as the financial capital of the Middle East well into the future."
